href,title,alt_title,date,text
https://ria.ru/20201118/migratsiya-1585129107.html,,Международные эксперты обсудят в РУДН влияние пандемии на миграцию,11:12 18.11.2020,"МОСКВА, 18 ноя - РИА Новости.  Эксперты конференции ""Миграция и глобальные вызовы третьего десятилетия"", которая пройдет 19-20 ноября в  РУДН  при экспертной поддержке  Совета Европы  и управления Верховного комиссара ООН по делам беженцев, обсудят, как пандемия новой коронавирусной инфекции повлияла на миграционные процессы. Отмечается, что конференция пройдёт в очно и в онлайн-формате. В рамках конференции также пройдет круглый стол ""Социальная и культурная адаптация и интеграция иностранных граждан в принимающее сообщество: способы выявления рисков и снижения социальной напряжённости и радикализма"". Участвовать в конференции будут профильные специалисты из стран  ЕС  и  СНГ . Среди приглашенных спикеров - Драгослав Штефанек, спецпредставитель генсека Совета Европы по вопросам миграции и делам беженцев, и Ванно Нупек, глава Московского офиса управления Верховного комиссара ООН по делам беженцев."
https://realty.ria.ru/20201116/peterburg-1584851236.html,,РСТЦ просит отменить запрет на работу фуд-кортов в Петербурге,15:28 16.11.2020,"МОСКВА, 16 ноя - РИА Недвижимость.  Российский совет торговых центров (РСТЦ) направил письмо на имя губернатора  Санкт-Петербурга   Александра Беглова  с просьбой отменить запрет на работу фуд-кортов в торговых комплекса города. Все фуд-корты и фуд-плейсы в торговых центрах Петербурга постановлением правительства города закрыты до 15 января для предотвращения распространения новой коронавирусной инфекции COVID-19. В нем отмечается, что введенный запрет негативно влияет на экономический потенциал не только отдельных фуд-операторов, но и на всю инфраструктуру ""цивилизованной торговли"" в целом, так как закрытие любой из частей торгового центра влияет на заинтересованность покупателей в его посещении, а также на время их пребывания в ТЦ и в итоге приводит к снижению оборотов всех без исключения арендаторов. По данным объединения, сейчас падение посещаемости торговых центров Петербурга составляет около 40%. Кроме того, в письме указывается, что запрет на работу фуд-кортов приведет к оттоку посетителей из торговых центров Петербурга в торговые объекты Ленобласти, где аналогичных мер до настоящего времени не вводилось. Такая миграция покупателей, по мнению РСТЦ, увеличит вероятность распространения COVID-19 и дополнительно ставит ТЦ Санкт-Петербурга в невыгодное положение, уменьшая оборот розничной торговли и общественного питания в городе. В связи с этим объединение просит отменить запрет на работу фуд-кортов и фуд-плейсов в Петербурге и выражает готовность при необходимости совместно с предприятиями общественного питания в кратчайшие сроки подготовить дополнительные меры для эпидемиологической защиты посетителей фуд-кортов и фуд-плейсов."
https://ria.ru/20201116/shkoly-1584884926.html,,Власти Кубани разработают программу по строительству школ на пять лет,18:15 16.11.2020,"КРАСНОДАР, 16 ноя - РИА Новости.  Власти  Краснодарского края  разработают программу по строительству школ на ближайшие пять лет, сообщает администрация региона. ""Но нужно как минимум вдвое больше – ежегодно на Кубани прибавляется по 20 тысяч школьников. Самую острую нехватку испытывает Краснодар. Только в Музыкальном микрорайоне по градостроительным нормам нужно создать больше 12 тысяч мест. Однако в микрорайоне нет ни одной школы, и из-за плотной застройки разместить их здесь невозможно. Городские власти сообщили, что на участке 1,4 гектара на улице Российской планируется построить школу на 400 мест. Но этого слишком мало для такого густонаселенного района"", - отметили в ведомстве. Уточняется, что, несмотря на набранные темпы строительства школ, проблема нехватки мест продолжает нарастать, и, по мнению губернатора, причина кроется не только в высоком уровне миграции, но и в точечной жилищной застройке, которую по-прежнему допускают главы территорий. ""Еще один микрорайон – Школьный – своему названию не соответствует. Здесь всего одна школа №100 – переполнена в четыре раза. Тем не менее, дома продолжают строиться. Нехватку школ испытывают и другие муниципалитеты. Хоть мы и построили 50 школ за пять лет и потратили на это 30 миллиардов рублей, этого недостаточно. За прошедший год количество детей, учащихся во вторую смену, увеличилось в 35 районах края"", – приводятся слова Кондратьева. В этой связи со следующего года в регионе планируется ужесточить градостроительные нормы. ""Если в радиусе 500 метров от жилого комплекса нет школ и детских садов, застройщик не получит разрешение на строительство, а также разрешение на ввод в эксплуатацию. Главы районов обязаны скорректировать генпланы своих территорий в соответствии с новыми правилами"", - пояснили в ведомстве. Как добавил глава края, регион создаст программу по обеспеченности школами всех муниципалитетов на пять лет, и утвердит в законодательном собрании края. ""По этой программе каждый глава должен знать, когда и где у него в районе будет построена школа"", – заявил глава региона. Он также поручил до января 2021 года подготовить конкретные предложения с участками под образовательные учреждения, программа должна заработать в следующем году."
https://ria.ru/20201119/valensa-1585294648.html,,"Валенса призвал страны вместе решить, как подготовиться к новым пандемиям",10:05 19.11.2020,"ВАРШАВА, 19 ноя - РИА Новости.  Один из самых известных польских политиков, нобелевский лауреат и бывший президент  Лех Валенса  считает, что все страны, включая Россию, должны сесть за стол переговоров и выработать глобальные договоренности о том, как подготовиться к следующим пандемиям, которые могут оказаться страшнее, чем нынешний  коронавирус . ""То, что происходит сейчас, - это судьба погрозила нам пальцем: ""Слушайте, следующей болезни вы не переживете, так что вы должны сесть за стол все вместе, включая Россию, и задуматься, какие вопросы не решаются в наших странах"", - заявил Валенса в интервью РИА Новости. По его мнению, мир должен найти ""глобальные договоренности, программы, деньги, структуры, чтобы не поддаться следующему удару"". ""То же самое с миграцией. Если мы ликвидируем границы, то будут приезжать мигранты. И здесь тоже судьба погрозила нам пальцем. С настоящей миграцией мы столкнемся знаете, когда? Когда откроемся для  Китая  и  Индии . Тогда вы увидите, что такое миграция. А то, что есть сейчас – это только угроза пальцем. Приготовьтесь, найдите работающие решения, каким образом пережить открытие границ. Но безопасно"", - сказал Валенса. При этом он считает, что дискуссию надо ускорить. ""У нас теперь есть лучшие средства – интернет и другие вещи. Так что можем ускорить. Но пока политики-демагоги ставят под сомнения решения, подрывают структуры, а остальные сидят тихо и ждут неизвестно чего"", - отметил политик. Россия, первой в мире разработавшая вакцину против COVID-19, неоднократно призывала другие страны к совместным усилиям по борьбе с коронавирусом. Президент РФ  Владимир Путин  в своем выступлении на сессии  Генассамблеи   ООН  предложил бесплатно предоставить вакцину от коронавируса сотрудникам организации. Он также заявил, что Россия абсолютно открыта и настроена на партнерство по борьбе с коронавирусом, в связи с чем предлагает провести онлайн-конференцию по вакцинам с участием государств, заинтересованных в кооперации по созданию вакцин против коронавируса. Читайте полный текст интервью >>>"
https://ria.ru/20201119/valensa-1585161363.html,,Лех Валенса: санкции против России – это страшная ошибка,11:00 19.11.2020,"Экс-президент Польши, основатель и многолетний руководитель антикоммунистической ""Солидарности"", нобелевский лауреат  Лех Валенса  в отличие от многих польских политиков не считает Россию угрозой безопасности своей страны и выступает за нормализацию отношений с восточным соседом.   Несмотря на пандемию коронавируса, он дал интервью РИА Новости и рассказал о своем отношении к уходящему президенту США Дональду Трампу, о том, кто зарабатывает на польско-российских ссорах, а также о том, как  коронавирус  отразился на его финансовом положении. – Польские власти не скрывают своей симпатии к Дональду Трампу. Как избрание Джо Байдена на должность президента может отразиться на польско-американских отношениях? – Американские демократы сильно социализированы, а значит, с этой точки зрения их мышление похоже на наше. Нам так кажется. В то же время мы должны помнить об одном – нужно помогать самим себе и отстаивать свои интересы, так как американские политики, собственно говоря, отстаивают только свою выгоду и если им это подходит, то подключают других к своим интересам. В то же время американский народ достаточно солидарный. Он действительно помогал Польше и вообще помогает. Политики же – только и исключительно игроки. И так надо смотреть на все американские выборы. – Как вы считаете, действительно ли вся Полония, как рассказывали официальные СМИ, голосовала за Трампа? – Я этого не знаю, я не уточнял, но думаю, что они тоже поделены. Трамп был популистом, демагогом, так что он мог нравиться людям, которые интересуются политикой в меньшей степени. – Какова роль Трампа в истории? Его называют по-разному: самым необычным президентом США, разрушителем Америки, героем, разрушителем мирового порядка, клоуном, гением. Как бы назвали его вы? Голосовали бы вы за него? – Нет! Потому что Трамп был популистом, демагогом. Но то, что касается диагноза, то и Трамп, и наши политики умеют ставить правильные диагнозы. В то же время они имеют проблемы с лечением. Они плохо решают проблемы. Они популизмом, демагогией добывают поддержку, так как говорят об изменениях, а люди хотят изменений. Они говорят, что будут изменения, Трамп говорил, что будут изменения и пробовал что-то менять. Но менял плохо, выходил из различных организаций. Эти организации плохо работают? Я согласен. Но это не означает, что из них надо выходить. – Особенно это касается некоторых договоренностей в военной сфере… – И так, и нет. В зависимости от того, как на это смотреть. Вы хорошо знаете, что оружием, которое имеется в мире, мы можем уничтожить жизнь на Земле десять раз. Мы просто не сможем воспользоваться всем оружием, которое имеем, так как жизнь будет уничтожена. А некоторые в это время спорят про одиннадцатый раз. Не будет этого одиннадцатого раза. – Что может изменить в мире, в мировой политике избрание Байдена президентом США? Кому нужно обрадоваться, а кому опасаться? – Наверное, изменится. Вероятно, он вернется ко многим вещам, от которых отказался Трамп. Там было несколько организаций, из которых он вышел. Эти организации не работали хорошо. Я согласен. Но нужно их менять. Теперь вопрос в том, пришел Байден с изменениями или пойдет старой дорогой. – Куда сейчас движется человечество? Чего ему не стоит делать? – Я всегда повторял, что искусство политика заключается в том, чтобы правильно понимать вызовы времени, в котором нам пришлось жить. И на мировом уровне, и на уровне государства. Нашему поколению пришлось жить во время, когда отошла эпоха раздела на два блока, на страны, на непроходимые границы. Она закончилась потому, что мы создали технологии, которые часто не умещаются в странах. В границах стран не помещаются интернет, экологические вопросы, масса вещей, поэтому мы должны создать более крупные структуры. Значит, тот уклад должен был закончиться. Когда наши прадеды придумали немного технологий, то из разных селений создали государства и страны. А раз мы придумали такие технологии, как сейчас, то должны увеличить структуры. Сейчас все мы чувствуем, особенно общественные массы, что нужны другие программы, другие структуры. Политики же не подготовили решений. А ситуация такая, что одно разрушено, второе еще не создано. И мы все оказались посередине. Я назвал это время Эпоха слова. Эпоха дискуссии, как должно выглядеть будущее мира, а также будущее наших стран. Каждая страна в предыдущей эпохе имела свою историю, свои решения, свое развитие, и это развитие очень разное. Это создает трудность в создании чего-то большего, так как слишком большая разница. Мы должны договориться по трем вопросам, чтобы строить дальше. Первое – какой мы хотим поставить фундамент под той новой эпохой. Каждое государство имеет разные фундаменты и даже разные религии. В этой Эпохе слова мы должны выбрать общую основу. Такую маленькую конституцию. Есть два варианта. Одни хотят строить на свободных принципах – свободном рынке, законодательстве. А другие говорят, что в первую очередь должны быть ценности, а потом свободный рынок. Когда мы договоримся о таком фундаменте для строительства новой структуры, которая больше, чем страна, то возникнет второй вопрос – какая будет экономическая система. Точно это будет не коммунизм, потому что он ни в одной стране не оправдал себя. Это мы должны отбросить. Но наверняка и не такой капитализм, потому что такой капитализм был хорош для стран, для государств. Кто-то назвал ту эпоху крысиными бегами – соревнования между странами. Сейчас если мы делаем что-то большое и общее, то конец крысиным бегам. Свободный рынок можно оставить, но все остальное мы должны организовать иначе. И третья проблема – как справляться с демагогией, популизмом и обманом политиков на уровне больше, чем страна, когда мы не боимся соседей, не хотим воевать, поставили под сомнение роль Бога, не имеем никаких тормозов и никого не боимся. Как тогда справиться с обманом и демагогией политиков? Таким образом, у нас есть три больших вопроса, которые мы еще не решили, а пока только дискутируем о них в Эпохе слова. Когда договоримся, когда убедим друг друга, тогда начнем строить. – Как, на ваш взгляд, вел себя Евросоюз в борьбе с пандемией? Многие жаловались на отсутствие солидарности, особенно в начале эпидемии? – Жизнь застала нас врасплох. Мы не были подготовлены, мы импровизируем, прекращаем работать. На какое-то время это можно сделать, но я предлагаю сесть за стол и помнить, что следующие болезни будут еще сильнее. Так что надо быстро подготовиться к вызовам, которые нас еще ожидают. А это нужно воспринимать как тренировку. – Только тренировка? Это страшно звучит. – То, что происходит сейчас, это судьба погрозила нам пальцем: ""Слушайте, следующей болезни вы не переживете, так что вы должны сесть за стол все вместе, включая Россию, и задуматься, какие вопросы не решаются в наших странах"". Именно к таким темам относится эта болезнь. Мы должны найти глобальные договоренности, программы, деньги, структуры, чтобы не поддаться следующему удару. То же самое с миграцией. Если мы ликвидируем границы, то будут приезжать мигранты. И здесь тоже судьба погрозила нам пальцем. С настоящей миграцией мы столкнемся знаете когда? Когда откроемся для Китая и Индии. Тогда вы увидите, что такое миграция. А то, что есть сейчас, это только угроза пальцем. Приготовьтесь, найдите работающие решения, каким образом пережить открытие границ. Но безопасно. И потому надо ускорить дискуссию. У нас теперь есть лучшие средства – интернет и другие вещи. Так что можем ускорить. Но пока политики-демагоги ставят под сомнение решения, подрывают структуры, а остальные сидят тихо и ждут неизвестно чего. – Верите ли вы в вакцинацию? Хотите ли привиться? – Это зависит от некоторых факторов. Я знаю, что множество прививок спасли людей от различных болезней. Проблема в том, чтобы эти прививки были действительно эффективны. И чтобы мы не делали так, что один создает болезни, а другой прививки, потому что так тоже может быть. Нужно контролировать это, и если прививка хорошая, то применять, а если плохая – отбросить. Мне уже 77 лет. Я уже прожил жизнь и скоро должен буду уйти туда… Там лучше, потому что до сих пор никто оттуда не сбежал. Если бы там было плохо, то кто-нибудь сбежал бы оттуда. В связи с этим я настраиваюсь на лучшее… – Вы очень много путешествовали по миру. Теперь поездки пришлось отменить? – Это ужасно, потому что я жил за счет этих путешествий. У меня были хорошие платные выезды. Мне хорошо платили за лекции. Сейчас это все прекратилось, и жена гонит меня на какую-нибудь работу, чтобы заработать на жизнь. – Но вы же президент на пенсии. – Ну и что с того. Все равно нужно иметь больше денег, а у меня их нет. – Каким будет мир после пандемии? Может быть, понимание хрупкости мироустройства и необходимости солидарности поможет решить хоть некоторые из глобальных проблем? – У меня есть другой вопрос. Договоримся ли мы вообще в итоге или уничтожим жизнь на этой планете. Мы или достигнем компромисса и сможем противостоять вызовам, или не сможем и уничтожим жизнь на планете. Кто-то говорил, что на Земле уже четыре раза была подобная ситуация, когда мы доходим до момента, когда не можем договориться, мир разрушается, несколько тысяч лет на Земле отсутствует жизнь, а через какое-то время появляются Адам и Ева, и все строится заново. А потом мы снова доходим до того самого момента и снова все разрушаем. Может, и так. – Считаете ли вы, что санкции против России дают эффект? Нужны ли в современном мире санкции как таковые, если проблем они не решают, а только создают? – Это ошибка. Страшная ошибка. У нас было очень много и положительного, и отрицательного опыта. Но господь Бог так решил, что мы соседи. И мы не сможем перенести ни Россию, ни Польшу с их мест. А если это за пределами наших возможностей, то надо сделать, наконец, наши отношения приятными. Я к этому стремился вместе с Ельциным. И если бы я остался на второй президентский срок, то не было бы нынешних проблем. Я бы очистил российско-польские отношения. Но не получилось. Если мы договоримся, то будем иметь выгоду – и одни, и вторые. А пока наши ссоры приводят к тому, что на нас зарабатывает третий. – Американец? – Прежде всего. Но не только. – Поляки действительно боятся России и ожидают от нее военной агрессии? – К власти пришли демагоги и популисты. Они ищут виноватых для того, чтобы оправдать свои неудачи. Это такая тактика. По крайней мере, в стратегии национальной безопасности так и записано: Россия является главной угрозой для Польши. Когда президент Дуда подписывал этот документ, никто из его многочисленных советников не выступил против. Он даже в армии не был. Что он знает о стратегии, этот Дуда? Это несчастье для Польши. Пока демагогия и популизм служат им, они на этом зарабатывают. Когда мы добьемся хороших отношений с Россией, то в Европе и в мире тоже будет иначе. Я уже говорил, что мы можем десять раз уничтожить жизнь на Земле тем оружием, что имеем сейчас, а мы спорим об одиннадцатом разе. Одиннадцатого раза не будет, поэтому это глупая, плохая концепция. Конечно, есть опасности, обиды, претензии. Надо иметь немного силы для того, чтобы не наделать глупостей, но мы будем все лучше и лучше понимать, что это не та дорога. – Польско-российские отношения только ухудшаются. С Евросоюзом тоже не все хорошо, но Германия, например, покупает в России огромное количество газа и строит ""Северный поток – 2""  для того, чтобы еще увеличить импорт. Это попросту выгодно. Почему польское руководство утверждает, что американский сжиженный газ дешевле российского, который поставляется по трубе? – От Гданьска всегда будет ближе до Москвы, чем до Вашингтона, поэтому всегда будет выгоднее. При этом нужно, чтобы мы стали умнее, чтобы поняли, что это невыгодно, что здесь ближе. Но договоренности с американцами уже подписаны на 20 лет и более. Это потому, что мы имеем таких плохих политиков, которые не умеют считать. – Мне показалось, или в вашем родном Гданьске к России и россиянам относятся лучше, чем в Варшаве? – Если речь идет о российском народе, то мы его очень любим. Мы так же любим и выпить, и закусить. Конечно, вы видите, что у нас такие политики. Мы должны воспитывать таких политиков, которые будут вместе с народом добиваться дружественных отношений между Россией и Польшей. – Надо построить нормальную дорогу в сторону Бреста, так как это важнейшая транспортная магистраль в сторону России. – Да. Если бы я был президентом, то давно бы это уже сделал. Но я проиграл выборы и успел сделать только половину работы. У меня были хорошие отношения с Ельциным и с россиянами, но пришли другие и нарушили мою политику, сделали меня агентом, даже агентом КГБ. – Куда вы хотите поехать в первую очередь, когда закончится пандемия? – Туда, куда меня пригласят. У меня было много приглашений. Особенно на Запад, но также и на Восток. Так что не знаю куда, не знаю, дождусь ли этих времен. Мне уже 77 лет…"
https://realty.ria.ru/20201123/zemlya-1585973788.html,,"Власти Москвы пояснили, зачем изменили условия смены функционала земли",18:55 23.11.2020,"МОСКВА, 23 ноя - РИА Недвижимость.  Введение повышающих коэффициентов при смене вида разрешенного использования земельных участков в  Москве  позволит создать в городе баланс между строительством жилья и объектов, предоставляющих рабочие места, рассказали РИА Недвижимость в пресс-службе департамента городского имущества столицы. Ранее мэр Москвы  Сергей Собянин  подписал постановление, согласно которому, при изменении функционального назначения арендуемого у города земельного участка будут применяться повышающие коэффициенты в зависимости от его месторасположения. В частности, для территорий в границах старой Москвы платеж увеличивается вдвое, для присоединенных территорий – в восемь раз. В департаменте пояснили, что изменения призваны стимулировать комплексную сбалансированную застройку новых районов, а также уменьшить дефицит рабочих мест в кварталах сложившейся застройки за пределами Третьего транспортного кольца (ТТК). Как указали в департаменте сейчас наблюдается дисбаланс в сложившейся инфраструктуре столичных районов: большая часть коммерческой недвижимости с рабочими местами сконцентрирована в центре города и происходит ежедневная маятниковая миграция трудовых потоков из районов, расположенных за пределами ТТК. Как рассказали в пресс-службе, до 19 ноября плата за изменение вида разрешенного использования устанавливалась в процентах кадастровой стоимости земли, при этом размер ставки зависел от плотности застройки. Теперь же размер платежа установлен из расчета за один квадратный метр площади нового строительства и не зависит от площади участка и плотности. При этом учитывается как территориальная зона застройки, так и функциональное назначение строящегося объекта. По словам представителя департамента, рост платежей в новой  Москве  обусловлен большим объемом вложений города в строительство транспортной и социальной инфраструктуры. При определении коэффициентов учитывались все бюджетные инвестиции с 2012 года. Но даже с учетом восьмикратного роста плата за смену вида разрешенного использования при строительстве жилья в  ТиНАО  будет ниже, чем в пределах старой Москвы, заметил он. В том случае, если одновременно со строительством жилья инвестор создает места приложения труда за пределами ТТК, то платеж за изменение вида использования под жилье может быть уменьшен или даже полностью отменен, также сообщили в департаменте. Теперь эта льгота распространяется не только на строительство объектов административно-делового или промышленно-производственного назначения, но и на объекты образования, науки, здравоохранения и социального обеспечения, спорта, культуры, торгово-развлекательных объектов, общественного питания, а также многофункциональных объектов, включающих все выше перечисленные виды. При этом степень снижения платежа зависит от площади создаваемых мест приложения труда, добавили в ведомстве."
https://ria.ru/20201123/pozhar-1585997112.html,,Четверо детей пострадали при пожаре в доме в Подмосковье,22:08 23.11.2020,"МОСКВА, 23 ноя – РИА Новости.  Четверо детей пострадали на пожаре в расселенном доме в подмосковном Менделеево, прокуратура  Московской области  начала проверку, сообщает пресс-служба регионального надзорного ведомства. Проверку поручили провести Солнечногорской городской прокуратуре. Прокуроры должны установить причины и условия произошедшего, дать правовую оценку действиям ответственных лиц по исполнению законодательства о несовершеннолетних, в сферах ЖКХ и миграции. Ход проверочных мероприятий поставлен в прокуратуре области на контроль."
