,href,title,alt_title,date,text
0,https://www.garant.ru/news/1761209/,Врачей и учителей планируют исключить из списка профессий с упрощенным ВНЖ,Врачей и учителей планируют исключить из списка профессий с упрощенным ВНЖ,16 октября 2024,"С предложением учесть такую поправку при рассмотрении законопроектов об усилении ответственности за незаконную миграцию выступил Председатель Госдумы  . Об этом сообщается на сайте нижней палаты парламента. Такую идею спикер высказал в ответ на намерение Минздрава России и Минпросвещения России направить в Минтруд России заявку для привлечения в сферу здравоохранения и образования мигрантов. Он считает, что российская научная, преподавательская школа способна обеспечить подготовку своих квалифицированных кадров для этих сфер. Вячеслав Володин призвал лучше подумать над созданием дополнительных благоприятных условий для врачей и учителей, которые стимулируют выпускников российских вузов соответствующих профилей пойти работать по специальности и остаться в профессии. Это поможет решить проблему дефицита кадров. Напомним, перечень профессий, позволяющих иностранцам получить российское гражданство в упрощенном порядке, сейчас содержит более 200 специальностей. В нем упоминаются такие сферы деятельности, как медицина, фармацевтика, образование, сельское хозяйство, геология и разведка недр, атомная энергетика, журналистика, разработка компьютерного ПО, строительство и т. д. (приказ Минтруда России от 15 мая 2023 г. № 460н "" ""). К слову, сегодня Госдума приняла в первом чтении два законопроекта из  . Первый предлагает признать обстоятельством, отягчающим наказание, совершение преступления лицом, незаконно находящимся на территории страны. А второй – отнести к числу особо тяжких преступлений организацию незаконной миграции организованной группой или в целях совершения тяжких или особо тяжких преступлений. Также планируется усилить санкции за подделку, изготовление или оборот поддельных документов и за преступления, связанные с фиктивной регистрацией и постановкой иностранцев на учет."
1,https://www.garant.ru/news/1765910/,"Депутаты Госдумы рассмотрят законопроект о борьбе с ""резиновыми квартирами""","Депутаты Госдумы рассмотрят законопроект о борьбе с ""резиновыми квартирами""", 8 ноября 2024,"В новом законопроекте, внесенном в парламент 8 ноября, содержится ограничение числа зарегистрированных иностранцев в жилых помещениях. Разработчики предлагают оформлять регистрацию с соблюдением условия: не более одного человека на шесть квадратных метров жилплощади. Этот лимит предотвратит скопление большого числа людей в одной квартире и защитит жилищные права соседей. Изменения  документом вносятся в  . Вводится новая ч. 2.1, уточняющая право собственников жилых помещений на предоставление жилья иностранным гражданам. Договоры могут быть заключены на основе найма, безвозмездного пользования или иного законного основания. Срок договора не должен превышать период законного нахождения иностранца в России. Предоставлять жилье иностранцам возможно при соблюдении: В законопроекте указано, что за защитой своих нарушенных прав соседи могут обратиться в суд. Для единообразия законодательного регулирования такие же по содержанию поправки вносят и в Федеральный закон от 18 июля 2006 г. № 109-ФЗ  "" "". ____________________________  С текстом законопроекта № 763538-8 "" "" и материалами к нему можно ознакомиться на официальном сайте Госдумы."
2,https://www.garant.ru/news/1766566/,За организацию незаконной миграции будут наказывать лишением свободы до 15 лет,За организацию незаконной миграции будут наказывать лишением свободы до 15 лет,11 ноября 2024,"Несколько важных поправок в  ,   и действующие   подписал  . Изменения направлены на борьбу с нелегальной миграцией в России.  Во-первых,   за организацию незаконной миграции организованной группой, а также для совершения тяжких или особо тяжких преступлений. За это преступникам грозит: Во-вторых, организация незаконной миграции  а. А за фиктивную регистрацию и постановку на учет незаконных мигрантов, подделку документов и оборот поддельных документов можно получить тюремный срок от двух до 6 лет.  Нелегальное пребывание на территории России теперь является  . Также вводится  , предлагающих услуги по легализации мигрантов из других стран. Кроме того, принимать участие в организации и приеме экзаменов у мигрантов теперь не смогут посреднические фирмы. Согласно  , сертификат о владении русским языком мигрантам вправе выдавать только госучреждения. Напомним, ранее Президент РФ  , по которому получить ВНЖ в России вне квоты можно будет только спустя 3 года после регистрации брака с гражданином страны. Предполагается, что это поможет бороться с фиктивными брачными союзами."
3,https://www.garant.ru/news/1762239/,МВД России будет уведомлять родственников иностранцев перед выдворением,МВД России будет уведомлять родственников иностранцев перед выдворением,23 октября 2024,"На официальном портале правовых актов размещен проект  с изменениями правил содержания иностранных граждан и лиц без гражданства в специальных учреждениях МВД России. Речь идет о гражданах, которые подлежат выдворению из страны. Поправки планируют внести в  . В целях приведения подзаконных актов в соответствие с Федеральным законом от 8 августа 2024 г. № 248-ФЗ "" "" МВД России уточняет круг лиц, которые могут принять решение о помещении иностранца в специальное учреждение. К ним, в частности, относятся: А также корректирует условия содержания там иностранцев: Напомним, недавно Президент РФ подписал  , которые вводят с 5 февраля 2025 года режим высылки для иностранцев. Мигрантов, нарушающих порядок пребывания в России, внесут в специально созданный реестр контролируемых лиц. Данным гражданам потребуется сообщить дату, место и маршрут планируемого самостоятельного выезда из РФ. Кроме того, с этой же даты уточняются и полномочия полиции. Сотрудники МВД России теперь смогут самостоятельно принимать решения об административном выдворении иностранцев за пределы России. В рамках данного режима иностранный гражданин также может быть помещен в специальное учреждение. Предполагается, что изменения вступят в силу также с 5 февраля 2025 года. _____________________________  С текстом проекта постановления "" ""  и материалами к нему можно ознакомиться на федеральном портале проектов нормативных правовых актов (ID: 01/01/10-24/00151807)."
4,https://www.garant.ru/news/1766653/,Владимир Путин подписал 14 федеральных законов,Владимир Путин подписал 14 федеральных законов,11 ноября 2024,"Среди них, в частности,  , направленных на борьбу с нелегальной миграцией. Теперь за организацию незаконной миграции будут наказывать лишением свободы до 15 лет и конфисковывать деньги, ценности и имущество.  Поправками   за невыполнение квоты по трудоустройству инвалидов. Кроме того, подписаны законы: Также Президент РФ   Договора о всеобъемлющем стратегическом партнерстве между РФ и КНДР. Всего 9 ноября, в субботу глава государства утвердил 14 нормативно-правовых актов.  "
5,https://www.garant.ru/news/1763863/,В многоквартирных домах хотят запретить массовые религиозные богослужения,В многоквартирных домах хотят запретить массовые религиозные богослужения,31 октября 2024,"Депутаты Госдумы предлагают ограничить проведение религиозных церемоний в МКД. Публичные мероприятия нельзя будет проводить в нежилых помещениях, которые часто располагаются на нижних этажах многоквартирных домов. При этом жилые помещения разрешат использовать только для богослужения, религиозных обрядов и церемоний, которые не носят систематический характер. С такой инициативой о внесении изменений в ст. 16 Федерального закона от 26 сентября 1997 г. № 125-ФЗ "" "" выступила группа депутатов Госдумы.  Действующее законодательство позволяет пользоваться нежилыми помещениями для проведения богослужений, что может создавать неудобства для жильцов. Как отмечают разработчики законопроекта  в пояснительной записке, это приводит к возникновению криминогенной обстановки из-за скопления больших групп, включая нелегальных мигрантов, нарушению норм общественной и противопожарной безопасности, увеличению количества бытовых конфликтов. Напомним, что согласно ст. 16 Федерального закона от 26 сентября 1997 г. № 125-ФЗ "" "" религиозные обряды и церемонии могут проводиться без препятствий в различных местах. В первую очередь, это культовые помещения и здания и прилегающие земельные участки. Также это распространяется на здания и сооружения, принадлежащие религиозным организациям.  _____________________________  С текстом законопроекта № 755625-8 "" """" и материалами к нему можно ознакомиться на официальном сайте Госдумы."
6,https://www.garant.ru/news/1765208/,Экзамен по русскому языку для получения гражданства РФ будет стоить 2950 руб.,Экзамен по русскому языку для получения гражданства РФ будет стоить 2950 руб., 5 ноября 2024,"Теперь цена экзаменов для иностранцев, желающих жить и работать в России, станет фиксированной. Минобрнауки России опубликовало проект постановления Правительства РФ, где определена точная стоимость: В ныне действующем   расчет стоимости экзамена определяется по специальной формуле. После принятия нового проекта  документ утратит свою силу.   Кроме того, на официальном портале проектов нормативных правовых актов размещено положение , также касающееся вопросов приобретения гражданства. В нем предусмотрен порядок включения государственных учреждений в перечень организаций, которые проводят экзамены по русскому языку, истории и законодательству для иностранцев.  Критерии для включения в список такие: Минобрнауки России передает заявки от организаций в Правительство РФ, где они окончательно утверждаются распоряжением. Напомним, что в настоящее время   реформа миграционного законодательства, в том числе проведения экзамена по русскому языку, истории и основам законодательства для иностранцев. Теперь только Правительство РФ будет определять список государственных учреждений, которые проводят экзамены по русскому языку, истории России и основам законодательства для иностранцев. Раньше такие экзамены могли проводить и частные организации по договору. Законопроект , уже принятый Госдумой в третьем чтении, находится в Совете Федерации на одобрении. _____________________________  С текстом проекта постановления Правительства РФ "" "" и материалами к нему можно ознакомиться на федеральном портале проектов нормативных правовых актов (ID: 01/01/11-24/00152103).    С текстом проекта постановления Правительства РФ "" "" и материалами к нему можно ознакомиться на федеральном портале проектов нормативных правовых актов (ID: 02/07/11-24/00152145).    С текстом законопроекта № 729100-8 "" """" можно ознакомиться на официальном сайте Государственной Думы Российской Федерации."
7,https://www.garant.ru/news/1763878/,"Что изменится в России с 1 ноября 2024 года: учет блогеров и майнеров цифровой валюты, запуск реестра воинского учета, новые льготы для участников СВО","Что изменится в России с 1 ноября 2024 года: учет блогеров и майнеров цифровой валюты, запуск реестра воинского учета, новые льготы для участников СВО",31 октября 2024,"Всего в ноябре начнут действовать положения 133 федеральных актов, принятых на данный момент. Ключевые поправки касаются: Рассмотрим самые интересные изменения. 4 ноября в стране ежегодно отмечают День народного единства. По   он является нерабочим праздничным днем. В этом году праздник выпадает на понедельник. Но из-за переноса выходного с 2 ноября на 30 апреля отдохнуть 3 дня подряд не получится. Суббота 2 ноября будет рабочей. А затем работников ожидает 2 выходных подряд (3-4 ноября) и короткая 4-дневная рабочая неделя. Избежать ошибок при начислении заработной платы, правильно произвести расчет рабочих часов, больничного или отпуска поможет  . Сколько будут длиться новогодние каникулы в 2025 году и какие периоды отдыха предусмотрены после переноса выходных дней, можно посмотреть в нашей  . В него смогут попасть персональные страницы пользователей соцсети, не распространяющие запрещенную информацию, которые предоставят сведения о себе. Указание о включении в этот перечень появится в соответствующих блогах и на каналах. При этом пользователи мессенджеров больше не будут получать анонимные сообщения и звонки. Организаторы распространения информации будут следить за этим. Какую информацию о себе блогеры должны будут сообщить в Роскомнадзор и в какой срок, можно узнать из нашей  .  Его введение в эксплуатацию с 1 ноября предусмотрено постановлением кабмина. На этом этапе проведут первоначальную загрузку сведений в базу – в ней соберут информацию о гражданах, подлежащих первоначальной постановке на воинский учет, состоящих на воинском учете или не состоящих, но обязанных состоять. К слову, в трех регионах России (Рязанской, Сахалинской областях и Республике Марий Эл) работа ресурса тестируется уже с середины сентября. На основании сведений этого реестра о направлении военкоматом повесток в автоматическом режиме сформируется реестр повесток. Сайт последнего тоже уже  . Войти в реестр повесток можно будет с помощью подтвержденной учетной записи на портале госуслуг. Какие данные включат в реестр электронных повесток, можно узнать из нашей  . С начала месяца участие граждан РФ в спецоперации на территориях Украины, ДНР, ЛНР, Запорожской и Херсонской областей будут подтверждать справкой. Ее начнут выдавать органы власти, направлявшие (привлекавшие) военнослужащего для участия в СВО. Справку можно получить непосредственно в органе власти, его территориальном подразделении, в МФЦ или через единый портал госуслуг. Справка нужна участникам СВО или членам их семей для оформления федеральных или региональных мер социальной поддержки. А с 2 ноября у участников СВО  возможность, находясь в отпуске, получать амбулаторную медицинскую помощь в любой государственной поликлинике. Ранее даже в отпуске военнослужащие должны были обращаться только в ведомственные госпитали Минобороны России. О планах законодателя расширить перечень ветеранов боевых действий можно прочитать в нашей  .    С 5 ноября в него дополнительно включат совершеннолетних детей погибших (умерших) при участии в СВО или выполнении задач по охране границы бойцов Росгвардии. Взрослые дети смогут претендовать на выплату в сумме 5 млн руб. при отсутствии других членов семьи. Выплаты предоставят в равных долях. Также с 1 ноября изменится система оплаты труда гражданского персонала воинских частей и организаций Вооруженных Сил РФ. Размеры должностных окладов по всем должностям проиндексируют. Должны ли вдовы участников СВО подтверждать отсутствие нового брака для получения пенсии по потере кормильца? Ответ на этот вопрос можно найти в нашей  .  С 1 ноября банкам запретят взимать комиссии с граждан за переводы на единый казначейский счет через Систему быстрых платежей. Для C2G-платежей при уплате налогов и штрафов, оплате услуг детсадов, кружков, секций и т. п. Банк России установил нулевые тарифы для вознаграждения. С той же даты расширится действие лимита бесплатных переводов – 100 тыс. руб. в месяц. Его дополнительно распространят на операции с электронными кошельками. Речь идет и о переводах другому человеку, и о пополнении личных электронных кошельков. С начала ноября также повысятся макропруденциальные надбавки по нецелевым потребительским кредитам с залогом автомобиля. Такая мера нацелена на защиту граждан с высокой долговой нагрузкой. Повышение надбавок произойдет в сегменте показателя долговой нагрузки заемщика более 50%. Как изменился размер ключевой ставки с 28 октября этого года, узнайте из  . О планах регулятора предусмотреть опцию внесения платежей в бюджет через порталы госуслуг и в местах оказания таких услуг можно прочитать в Информации Банка России от 20 сентября 2024 года "" "". ИП и организации будут вправе осуществлять майнинг (в том числе участвовать в майнинг-пуле) с момента включения в реестр лиц, осуществляющих майнинг цифровой валюты. Но есть ряд ограничений – например, для граждан с неснятой или непогашенной судимостью за экономические преступления, преступления против госвласти, причастных к экстремистской деятельности или терроризму. Также   на совмещение майнинга с производством, куплей-продажей и передачей электроэнергии, оперативно-диспетчерским управлением. Физлица без статуса ИП смогут заниматься майнингом без включения в реестр, если потребляемая при этом энергия не превышает установленных лимитов. Правительству РФ разрешено по согласованию с Банком России вводить дополнительные требования к деятельности лиц, осуществляющих майнинг. Что такое майнинг и для чего он нужен, можно узнать в  .  О текущем правовом регулировании цифровых денег читайте в  .      Налоговый орган рассылает уведомления до ноября. Уплатить налог на имущество физлиц, транспортный и земельный налоги в этом году нужно до 2 декабря включительно. А между этими датами у налогоплательщика есть время проверить правильность исчисления налога или выяснить, почему налоговое уведомление не пришло. В последнем случае нужно обратиться в налоговый орган, направить информацию через личный кабинет налогоплательщика или сервис ""Обратиться в ФНС России"". На что обратить внимание при проверке суммы налога и льгот в налоговом уведомлении, можно узнать из нашего  . Это касается тех, кто хочет пользоваться скидками и надбавками к страховым тарифам на ОСС от несчастных случаев на производстве и профзаболеваний в 2025 году. Им нужно подать заявление об установлении скидок не позднее 1 ноября этого года. Сделать это можно лично, подав бумажное заявление в территориальный орган фонда по месту регистрации, в МФЦ, направив его по почте или в электронной форме через единый портал госуслуг. Что учитывают при решении вопроса об установлении скидки страхователю? С перечнем условий можно ознакомиться в   ""Энциклопедии решений. Налоги и взносы"" в системе ГАРАНТ.  Изменятся ли тарифы по травматизму в 2025-2027 годах, узнайте из нашей  .  Перерасчет производится, если по итогам календарного года, в котором уменьшен налог на сумму страховых платежей (взносов) и пособий, установлено, что уменьшение превышает исчисленные в календарном году страховые взносы. Уведомление содержит сумму налога, которую налогоплательщик должен уплатить в связи с перерасчетом. Его направляют через личный кабинет или заказным письмом по почте. Новая форма начнет действовать с 1 ноября. С правилами уменьшения налога по ПСН на сумму страховых взносов ИП в фиксированном размере ""за себя"" можно ознакомиться в одноименном   ""Энциклопедии решений. Налоги и взносы"" в системе ГАРАНТ.  Это касается тех, кто оказывает гражданам в электронной форме услуги в России и совершает расчеты непосредственно с получателями. Речь идет в том числе об организациях-посредниках, признаваемых налоговыми агентами, и компаниях, работающих через электронные площадки. Утверждены новые формы, форматы и правила заполнения заявления таких лиц о постановке на учет в налоговом органе, об изменениях в ранее сообщенных сведениях и о снятии с учета. Их нужно применять с 1 ноября. О важных нюансах постановки на учет в налоговом органе иностранных организаций можно прочитать в   ""Энциклопедии решений. Налоги и взносы"" в системе ГАРАНТ.  Это касается тех лиц, в отношении которых решения о приеме в гражданство РФ были приняты до вступления в силу нового   и которые не принесли Присягу гражданина РФ до 22 ноября 2023 года. С этой даты вступил в силу Указ Президента РФ от 22 ноября 2023 г. № 889 "" "". Им предусмотрен переходный период в течение года для того, чтобы иностранцы успели принести Присягу. Срок истекает 21 ноября этого года. После этой даты лица, которые так и не принесут Присягу гражданина РФ, будут считаться не приобретшими гражданство РФ, а решения об их приеме в гражданство признают недействительными. О планах законодателя по введению штрафов до 60 млн руб. за фиктивную миграцию можно прочитать в нашей  . А о миграционной политике с 2025 года узнайте из  . С 7 ноября геномную информацию, полученную в результате проведения государственной геномной регистрации, разрешат использовать для установления личности иностранных граждан и лиц без гражданства. У Правительства РФ появится возможность проводить эксперименты по апробации правил и условий въезда в Россию и выезда из нее мигрантов. А участники программы по добровольному переселению соотечественников смогут получить вид на жительство в упрощенном порядке. О свежих поправках, касающихся получения мигрантами разрешения на проживание в России и вида на жительство, можно прочитать в нашей  .  С 15 мая 2024 года иноагентам запрещено занимать должности в органах публичной власти. Но для них был предусмотрен переходный период для исключения из реестра иноагентов. Полномочия тех, кто до 11 ноября 2024 года не успел выйти из реестра, и до сих пор замещает должности в органах публичной власти, прекратят досрочно. О планах законодателя лишать полномочий в течение 30 дней признанных иноагентами депутатов можно прочитать в  .  Ими вводится норма об отмене судебного приказа о взыскании алиментов на несовершеннолетних детей и удовлетворении требований взыскателя в порядке искового производства. При обращении в суд с иском взыскать можно будет средства за период, указанный в судебном приказе. За предшествующий подаче заявления приказа период алименты могут быть присуждены с момента обращения в пределах 3-летнего срока давности. Также предусмотрена возможность подачи частной жалобы на определение суда об отмене судебного приказа по мотиву отсутствия уважительных причин представления должником возражений по истечении установленного срока. Изменения вступят в силу 6 ноября. С предпосылками принятия поправок можно ознакомиться в нашей  .  Замена шин по сезону является обязанностью автомобилистов. Неустановление на транспортном средстве категорий M1 и N1 зимних шин в зимний период или установление шипованной резины не на все колеса считаются неисправностями и условиями, при которых запрещается эксплуатация транспортных средств. За это нарушение предусмотрена ответственность по   в виде штрафа в 500 руб. По общему правилу, зимним считается период с декабря по февраль включительно. Но обычно смена шин совпадает с переходом на зимние нормы ГСМ. А в большинстве субъектов РФ такой переход происходит в ноябре. Так, с 1-го числа нормы расхода топлива при работе автотранспорта повысятся в Москве и Санкт-Петербурге, в Московской и Ленинградской областях, в Севастополе, Архангельской, Брянской, Воронежской, Ивановской, Курской, Липецкой, Новгородской, Новосибирской, Пензенской, Рязанской, Саратовской, Тамбовской, Ярославской областях и т. д. А с 15 ноября – в Белгородской, Калининградской, Ростовской и Сахалинской областях (за исключением некоторых районов). В каких регионах с какого числа нужно сменить летние шины на зимние? – Ответ на этот вопрос в удобном формате таблицы можно узнать из  .  С 30 ноября тем, у кого есть знак ""Почетный донор России"", выплату   без заявления. Но только при наличии направленного через портал госуслуг согласия гражданина на использование реквизитов его банковских счетов в целях получения мер соцзащиты. Однако заявление потребуется, если статус почетного донора был получен до 30 ноября 2024 года, но лицо обращается за выплатой впервые. Какую новую трудовую гарантию планируется предусмотреть для доноров? Читайте в  .  Это станет возможным в рамках эксперимента, который пройдет с 1 ноября этого года до конца 2025 года. Его решено реализовать на территории Армении, Казахстана, Киргизии, Узбекистана. Специальный удостоверяющий центр обеспечит проверку подлинности документов и достоверности сведений, представленных заявителями, а также изготовление ключей проверки ЭП. Запросы будут поступать из пунктов оформления по защищенному каналу связи с использованием средств криптографической защиты информации. Тем же путем из удостоверяющего центра в пункты оформления передадут файлы с ключом проверки. Передача носителей информации для записи ключа и сертификата ключа проверки ЭП из удостоверяющего центра для выдачи их заявителям будет проходить по каналам МИД России через дипломатические представительства и консульские учреждения РФ в регионах – участниках эксперимента. Более подробно об эксперименте можно прочитать в  .  С 5 ноября беременные, осужденные к ограничению свободы, будут вправе обратиться в суд с ходатайством об отсрочке отбывания наказания. Такая возможность будет со дня предоставления отпуска по беременности и родам или со дня, когда в рамках трудового законодательства он мог бы быть предоставлен. С той же даты суд сможет отсрочить реальное отбывание наказания до достижения ребенком 14 лет. Это послабление касается беременных женщин, матерей и отцов-одиночек, осужденных к ограничению свободы. Когда у находящихся в СИЗО появится возможность общаться с адвокатами по видео-конференц-связи? Ответ на этот вопрос можно найти в  .  С 1 ноября вводятся в действие несколько десятков новых стандартов. В их числе – ГОСТ, устанавливающий общие требования безопасности к устройству и установке пассажирских и грузопассажирских лифтов. Часть стандартов касается сферы гражданской обороны и безопасности при ЧС, например, общих требований к: обеспечению постоянной готовности сил и средств гражданской обороны; сети наблюдения и лабораторного контроля гражданской обороны и защиты населения и т. д. Одновременно вводятся в действие стандарты в области атомной техники."
