href,title,alt_title,date,text
https://ria.ru/20211115/migranty-1759062918.html,В Польше двух россиян обвинили в организации нелегальной миграции,,10:18 15.11.2021,"ВАРШАВА, 15 ноя – РИА Новости.  Двоим гражданам  России  предъявлено обвинение в  Польше  за организацию нелегальной миграции, сообщила польская прокуратура. ""Прокурор Силезского отдела по делам организованной преступности и коррупции Генеральной прокуратуры в  Катовице  направил очередное обвинительное заключение по делу о деятельности международной организованной преступной группы, организовавшей незаконное пересечение границы гражданами стран Ближнего Востока. Обвиняемыми являются двое граждан России и гражданин Украины"", - говорится в сообщении. Уточняется, что в ходе расследования задержаны ""водители, перевозящих мигрантов, а также два организатора чеченской национальности, находящиеся нелегально на польской территории"". Обвиняемым грозит наказание до 8 лет лишения свободы. В прокуратуре отметили, что это уже третий обвинительный акт по данному делу. Всего обвинительными актами было охвачено 12 преступлений, совершенных 5 обвиняемыми. По данным польских силовиков, члены группы действовали на территории многих стран, в частности Греции, Словакии, Венгрии, Австрии, Германии и стран Ближнего Востока. ""Из десятков задержанных двое подозреваемых приняли решение начать сотрудничество с органами следствия, в результате чего в ходе допросов раскрыли подробности деятельности группы и преступлений, совершенных ее членами. Выводы по этому вопросу были также сделаны благодаря международному сотрудничеству с компетентными органами Германии, Австрии и Словакии"", - говорится в сообщении. На границе  Белоруссии  и Польши последние несколько недель скопились несколько тысяч мигрантов в надежде попасть в страны ЕС. Польские власти усилили охрану границ, стянули военных и пресекают попытки нелегалов проникнуть на территорию страны, обвиняя Минск в миграционном кризисе. Все эти обвинения Белоруссия отвергает, заявляя, что Польша насильно выдворяет мигрантов."
https://ria.ru/20211115/dzhuuri-1759073041.html,,В Москве вручат премию за сохранение языка горских евреев,11:11 15.11.2021,"МОСКВА, 15 ноя – РИА Новости.  Премию за сохранение исчезающего языка горских евреев – джуури вручат в Москве в понедельник, сообщили в пресс-службе организаторов события - фонда ""СТМЭГИ"". ""15 ноября в Москве пройдет награждение людей года по версии горской еврейской общины России. Им будет вручена высшая награда общины - премия имени Сергея Вайнштейна. В этом году лауреатами стали люди, которые внесли значительный вклад в сохранение языка джуури – национального языка горских евреев. Этот язык входит в список редких и исчезающих, составленный ЮНЕСКО"", - сообщили в пресс-службе. Премия присуждается с 2015 года и каждый год связана с одной из важных сторон жизни общины горских евреев. В этом году ее получат преподаватель, художник и общественный деятель Рами Меир, преподаватель, филолог и культуролог Евгения Назарова, журналист и общественный деятель Фрида Юсуфова, рассказали в фонде. На награждении выступят президент Международного фонда горских евреев ""СТМЭГИ"", вице-президент Российского еврейского конгресса Герман Захарьяев, главный раввин России (КЕРООР) Адольф Шаевич, председатель Федерального агентства по делам национальностей Игорь Баринов, президент Российского еврейского конгресса Юрий Каннер, заместитель руководителя Департамента национальной политики и межрегиональных связей города Москвы Константин Блаженов, послы Израиля, Азербайджана и Бахрейна, другие почетные гости. Также гости смогут послушать песни на джуури. Премия Сергея Вайнштейна учреждена фондом ""СТМЭГИ"" и посвящена памяти Сергея Ивановича Вайнштейна (1948-2015) - историка и культурного антрополога, специалиста в области иудаизма и этнографии народов Кавказа. Он стоял у истоков создания ""СТМЭГИ"" в 2001 году, сыграл важную роль в возрождении в России горско-еврейской национальной культуры и религиозной жизни, утоняют в фонде. Джуури — национальный язык горских евреев, он принадлежит к западной подгруппе иранской группы индоевропейской языковой семьи и представляет собой симбиоз древнеперсидского и древнего иврита. Традиционно на этом языке говорили горские евреи современных Азербайджана, Дагестана и Кабардино-Балкарии. Сегодня носители языка живут на всех континентах, во многих странах мира. Когда горско-еврейский этнос проживал на своей исторической территории, джуури оставался языком живого общения. Но, как пояснили в ""СТМЭГИ"", в результате многочисленных миграций и расселения в крупных городах число носителей языка неуклонно сокращалось. ЮНЕСКО даже включило джуури в ""Атлас языков, находящихся под угрозой исчезновения"". Горские евреи — это одна из субэтнических групп евреев, исторически проживавшая на Северном Кавказе и в восточной части Закавказья (Дагестан, Чечня, Кабардино-Балкария, Азербайджан). В настоящее время большая часть этноса, насчитывающего 120-150 тысяч человек, проживает в Израиле. Также общины существуют в Москве, Санкт-Петербурге, Германии, Австрии, США и Канаде. Известными представителями горско-еврейского этноса сейчас являются предприниматель Год Нисанов, художественный руководитель Электротеатра ""Станиславский"" Борис Юхананов, музыковед Манашир Якубов, эстрадная певица Жасмин, актриса Виктория Исакова."
https://ria.ru/20211115/yakutiya-1759090688.html,В Якутии сотрудников правоохранительных органов заподозрили в браконьерстве,,12:19 15.11.2021,"ЯКУТСК, 15 окт – РИА Новости.  Правоохранители подозреваются в незаконной добыче более 10 диких северных оленей в особо охраняемой природной зоне в  Якутии , сообщила пресс-служба министерства экологии, природопользования и лесного хозяйства республики. Как отметили в минэкологии, в период нерабочих дней с 30 октября по 9 ноября госинспекторами Нюрбинского комитета государственного экологического надзора и спецотряда ""Запад"" дирекции биологических ресурсов, особо охраняемых природных территорий и природных парков проведены рейдовые мероприятия по охотничьим угодьям  Нюрбинского района . Мероприятия прошли для усиления охраны дикого северного оленя лено-оленекской популяции в ходе их миграции. ""В ходе рейда проверены более 50 охотников, составлено 22 административных протокола, из них по части 1.2. ст. 8.37 КоАП РФ – 3, по ст. 8.39 – 7, по части 1 ст. 8.37 - 12. Изъято 16 орудий охоты, а также незаконно добытые продукции охоты: 14 туш дикого северного оленя, туша глухаря и соболя. Из них 13 особей дикого северного оленя и 1 особь соболя добыто группой лиц в количестве 5 человек на территории зоны абсолютного покоя (местность Ого-Унуохтаах) ресурсного резервата ""Сюгджэр"". При проверке документов выяснилось, что среди данных лиц имеются сотрудники федеральных правоохранительных органов"", - сообщили в минэкологии. В ведомстве добавили, что материалы дела переданы для проведения доследственной проверки в отдел полиции МВД РФ по Нюрбинскому району и в Следственный комитет РФ по Якутии. РИА Новости пока не располагает комментариями МВД и  СК ."
https://ria.ru/20211115/polsha-1759113122.html,Польша не сообщала в посольство об обвинениях в адрес задержанных россиян,,13:44 15.11.2021,"ВАРШАВА, 15 ноя – РИА Новости.  Польские власти не сообщали посольству  РФ  о предъявлении обвинений двум россиянам за организацию нелегальной миграции, сообщил РИА Новости официальный представитель дипмиссии  Владимир Александров . ""Польские власти нас официально не уведомляли о предъявлении российским гражданам обвинений в содействии нелегальной миграции. Обращений наших граждан в российские консульские учреждения в  Польше  с просьбой оказать консульскую помощь по данному факту также не поступало"", - сказал Александров. Ранее об обвинениях двум российским гражданам сообщила польская прокуратура."
https://ria.ru/20211115/slutskiy-1759137623.html,Слуцкий обвинил ЕС в ухудшении ситуации на польско-белорусской границе ,,15:32 15.11.2021,"МОСКВА, 15 ноя – РИА Новости.  Глава комитета  Госдумы  по международным делам  Леонид Слуцкий  сообщил, что новые санкции  Брюсселя  в отношении  Белоруссии  сведут на нет их начавшийся диалог, ситуация на границе уже стала поводом для новых угроз  Москве  и  Минску . В своем  Telegram-канале  Слуцкий отметил, что глава европейской дипломатии  Жозеп Боррель  пообещал, что главы МИД стран ЕС уже в понедельник примут новый пакет персональных санкций против Белоруссии и запустят рамочный механизм запретительных мер против турагентств и авиакомпаний, которые так или иначе могут быть связанны с трафиком нелегальных мигрантов. ""В то же время господин Боррель в интервью газете Le Journal du Dimanche выразил согласие с мнением президента России  Владимира Путина  о необходимости прямых контактов  Евросоюза  и Минска по ситуации на белорусско-польской границе. А ведь именно с этого и стоило начинать. Как минимум - выслушать все стороны, прежде чем вновь запускать санкционный маховик. Рестрикции же могут свести возможность диалога Брюсселя и Минска на нет"", - написал Слуцкий. ""Похоже, в Брюсселе продолжают свято верить в то, что санкции служат панацеей от всех бед, хотя на чем основана эта вера - абсолютно непонятно. Видимо, в ЕС способны использовать любую кризисную ситуацию для введения санкций против неугодных им лиц"", - добавил политик. Также он написал, что в приграничной зоне сейчас находятся несколько тысяч человек, включая женщин и детей. ""Ситуация далека от разрешения в практической плоскости, но в политической уже стала поводом для угроз Минску и …даже Москве"", - также отметил Слуцкий. Главы МИД ЕС на заседании в Брюсселе в понедельник утвердили критерии для введения санкций против тех, кто способствует нелегальной миграции из Белоруссии в ЕС."
https://ria.ru/20211115/sanktsii-1759141019.html,В Литве призвали ввести санкции против минского аэропорта,,15:50 15.11.2021,"БРЮССЕЛЬ, 15 ноя - РИА Новости.  Глава  МИД Литвы  Габриэлюс Ландсбергис считает, что  Евросоюз  должен ввести санкции против аэропорта  Минска  и других белорусских воздушных гаваней из-за ситуации на польско-белорусской границе, где по данным  Варшавы  скопилось несколько тысяч мигрантов. Ранее источник РИА Новости сообщил, что главы МИД ЕС на заседании в  Брюсселе  в понедельник утвердили критерии для введения санкций против тех, кто способствует нелегальной миграции из Белоруссии в ЕС. ""Еще один способ – вводить санкции против самих аэропортов или компаний, предоставляющих наземные услуги для самолетов. Я знаю, что ЕС раньше так не делал, но я думаю это будет очень сильным посланием о том, что аэропорты – часть проблемы… Наш интерес заключается в том, чтобы увидеть аэропорт Минска и другие аэропорты в запрещенной для полетов коммерческих авиалиний зоне на данный момент, до того, как будет ясно, что кризис закончился"", - сказал глава литовского МИД. Ландсбергис перед заседанием Совета МИД ЕС заявил журналистам, что  Литва  готова оказать техническую поддержку в сотрудничестве с другими странами по транспортировке находящихся у польско-белорусской границы мигрантов в ближайшие аэропорты и отправке их в родные страны. Министр иностранных дел Литвы также выразил мнение, что президент России  Владимир Путин  является частью сложившегося на польско-белорусской границе кризиса, а также добавил, что ""никогда бы не представил его в качестве решения этой проблемы"". При этом Путин в ответ на обвинения в адрес  России  в миграционном кризисе на границе  Белоруссии  и  Польши  ранее призывал страны заниматься своими внутренними проблемами, а не перекладывать на других собственные вопросы. Кроме того, Ландсбергис считает, что Россия якобы может начать военную операцию против  Украины  или Белоруссии во время кризиса на границе Польши и Белоруссии на фоне сообщений о том, что Москва якобы стягивает войска к границе с Украиной. На границе Белоруссии и Польши последние недели скопились несколько тысяч мигрантов в надежде попасть в страны ЕС. Польские власти усилили охрану границ, стянули военных и пресекают попытки нелегалов проникнуть на территорию страны, обвиняя Минск в миграционном кризисе. Все эти обвинения Белоруссия отвергает, заявляя, что Польша насильно выдворяет мигрантов на ее территорию. В МИД РФ опровергли сообщения ряда западных СМИ о том, что Россия якобы стягивает войска к границе с Украиной. Пресс-секретарь президента РФ  Дмитрий Песков  заявлял, что Россия перемещает войска в пределах своей территории и на свое усмотрение. По его словам, это никому не угрожает и никого не должно волновать. Россия не раз отвергала обвинения Запада и Украины в ""агрессивных действиях"", заявляя, что никому не угрожает, а заявления об ""агрессии РФ"" используются как предлог, чтобы разместить больше военной техники  НАТО  вблизи российских границ."
https://rsport.ria.ru/20211115/tikhonov-1759158784.html,Тихонов призвал Глиньского провериться у психиатра после заявлений о России,,17:06 15.11.2021,"МОСКВА, 15 ноя - РИА Новости.  Четырехкратный олимпийский чемпион  Александр Тихонов  отреагировал на заявления вице-премьера Польши Петра Глиньского об исключении России из международных  спортивных организаций. По словам специалиста в интервью  Sport24 , глупо делать громкие заявления в области спорта после кризисной ситуации с мигрантами на границе Польше и Белоруссии. ""Ни один умный человек такого бы не сказал. Вице-министру Польши надо провериться у психиатра. Причем здесь миграция и спорт? Думаю, что спортивные успехи России и Белоруссии выше, чем у Польши, поэтому так и бесятся"", - заявил он. Тихонов также назвал заявления Петра Глиньского ""болванством и неадекватностью"". Ранее Глиньский призвал к исключению России и Белоруссии из ""ряда международных организаций"" и отлучению от участия в международных спортивных соревнованиях из-за миграционного кризиса на белорусско-польской границе."
https://ria.ru/20211116/fsb-1759236011.html,"ФСБ задержала группировку, помогавшую мигрантам получать гражданство ",,10:10 16.11.2021,"МОСКВА, 16 ноя — РИА Новости.   ФСБ  пресекла деятельность преступников, занимавшихся нелегальным оформлением мигрантам российского гражданства, сообщает пресс-служба Центра общественных связей ведомства. В ЦОС рассказали, что у 42 фигурантов прошли обыски, 20 из них — на территории Московского региона. Сотрудники ФСБ установили местонахождение подпольной типографии, где изъяли миграционные документы, поддельные печати и штампы госорганов, материалы теневой финансовой отчетности и деньги. Всего задержан 21 человек, сейчас решается вопрос об избрании им меры пресечения. По версии следствия, злоумышленники изготавливали для иностранцев поддельные документы и помогали им заключить фиктивные браки или установить отцовство над детьми с российским гражданством, для чего находили россиян, готовых на это за деньги. Затем через сотрудников загс в разных городах оформляли легальное пребывание мигрантов в России, а тем в результате удавалось получить гражданство. "
https://ria.ru/20211116/belorussiya-1759313256.html,В МИД Белоруссии пожаловались на издержки от пребывания мигрантов в стране,,16:12 16.11.2021,"МОСКВА, 16 ноя – РИА Новости.   Белоруссия  несет существенные издержки от пребывания ближневосточных беженцев на ее территории, оказывая им гуманитарную помощь, сообщил во вторник пресс-секретарь МИД республики Анатолий Глаз. ""На самом деле, это существенные издержки. Достаточно просто посмотреть на десятки тонн розданной гуманитарной помощи мигрантам"", - сказал пресс-секретарь  МИД Белоруссии  в эфире телеканала  ""Россия 24"" . Он также указал на расходы белорусской стороны, связанные с установкой палаток для обогрева, подвозом дров мигрантам и так далее. ""Абсурдно даже полагать, что мы каким-то образом стимулируем эти процессы (нелегальную миграцию – ред.)… Мы всегда очень тщательно относились к вопросам нелегальной миграции и продолжаем это делать. В текущей ситуации уже несколько месяцев назад мы существенно ужесточили подход и к выдаче виз, и к миграционному контролю, и к другим процедурам"", - сказал пресс-секретарь. Он напомнил, что за последнее время порядка 8 тысяч иностранцев, нарушавших миграционное законодательство либо заявивших не соответствующие действительности цели пребывания, были выдворены с территории республики либо не пропущены в Белоруссию. На прошлой неделе у границы Белоруссии с  Польшей  образовался стихийный лагерь беженцев, который насчитывал более 2 тысяч человек. В этот понедельник беженцы перебрались непосредственно в пункт пропуска на белорусско-польской границе, а во вторник предприняли попытку прорыва через границу, но польские силовики применили спецсредства. В последнее время  Литва ,  Латвия  и Польша сообщали о росте числа задерживаемых нелегальных мигрантов из стран  Ближнего Востока  и  Африки  на границе с Белоруссией, обвиняли  Минск  в создании миграционного кризиса. Минск все обвинения отвергает. Президент Белоруссии  Александр Лукашенко  отмечал, что Минск больше не будет сдерживать поток нелегальных мигрантов в страны ЕС: из-за санкций Запада на это нет ""ни денег, ни сил"". Пограничники Белоруссии неоднократно заявляли о насильственном выдворении мигрантов Литвой, Польшей и Латвией на белорусскую территорию."
https://ria.ru/20211116/granitsa-1759323372.html,"МИД Белоруссии опроверг заявления о мигрантах, прилетающих через Москву",,16:49 16.11.2021,"МОСКВА, 16 ноя - РИА Новости.  Официальный представитель МИД Белоруссии Анатолий Глаз опроверг заявления властей  Литвы  о том, что  нелегальные мигранты прилетают в  Минск  через  Москву , по его словам, на пяти рейсах "" Белавиа "" из российской столицы в понедельник был только один иностранец. Ранее президент Литвы  Гитанас Науседа  заявил, что  Россия  связана с миграционным кризисом вокруг  Белоруссии , по его словам, нелегальные мигранты приезжают в Минск через Москву. На прошлой неделе у границы Белоруссии с  Польшей  образовался стихийный лагерь беженцев, который насчитывал более 2 тысяч человек. В этот понедельник беженцы перебрались непосредственно в пункт пропуска на белорусско-польской границе, а во вторник предприняли попытку прорыва через границу, но польские силовики применили спецсредства. ""После проведенной проверки оказалось, что на пяти рейсах ""Белавиа"" из Москвы вчера был только один иностранец"", - сказал Глаз в эфире телеканала  ""Россия 24"" . По словам дипломата, ""в прошлый четверг, например, из Франции через  Ла-Манш  переплыли за один день тысячи нелегальных мигрантов"". ""Получается, что  Франция  привлекает нелегальных мигрантов к себе?"" - задается вопросом официальный представитель  МИД Белоруссии . Он отметил, что Минск ""очень тщательно относится к вопросам нелегальной миграции"". ""Несколько месяцев назад мы ужесточили подход к выдаче виз, к паспортному контролю. Более 30 туристических фирм, систематически нарушавших миграционное законодательство, в течении только одного месяца были отстранены от подачи заявок. В октябре мы полностью прекратили выдачу виз из ряда стран миграционного риска. Сегодня, по данным МВД, порядка 8 тысяч иностранцев, нарушавших миграционное законодательство, были выдворены или не пропущены на территорию Беларуси. Мы очень серьезно к этому относимся. Абсурдно даже полагать, что мы каким-то образом стимулируем эти процессы"", - сказал он. В последнее время Литва,  Латвия  и Польша сообщали о росте числа задерживаемых нелегальных мигрантов из стран  Ближнего Востока  и  Африки  на границе с Белоруссией, обвиняли Минск в создании миграционного кризиса. Минск все обвинения отвергает. Президент Белоруссии  Александр Лукашенко  отмечал, что Минск больше не будет сдерживать поток нелегальных мигрантов в страны ЕС: из-за санкций Запада на это нет ""ни денег, ни сил"". Пограничники Белоруссии неоднократно заявляли о насильственном выдворении мигрантов Литвой, Польшей и Латвией на белорусскую территорию."
